"Pan integral, de molde, tostado",ración
Pan integral,ración
"Pan integral, sin sal",ración
"Pan integral, tostado",ración
Panquemao,ración
Pan rallado,ración
"Pan, tipo hamburguesa",ración
Pan tostado integral,ración
Papas arrugás con mojo picón,ración
"Papaya, cruda",ración
Papillote de bacalao,ración
Papillote de pescado blanco,ración
Paraguaya,ración
"Pasta alimenticia, con huevo, cruda",ración
"Pasta alimenticia, con huevo, hervida",ración
"Pasta alimenticia, con vegetales, cruda",ración
"Pasta alimenticia, cruda",ración
"Pasta alimenticia, integral, cruda",ración
"Pasta alimenticia, integral, hervida",ración
"Pasta alimenticia, rellena con carne, hervida",ración
Pasta boloñesa vegana,ración
Pasta con crema de pollo y champiñones,ración
Pasta de fruta,ración
Pastas de te,ración
Pastel con fruta confitada,ración
Pastel de chocolate,ración
Pastel de fruta confitada,ración
Pastel de manzana,ración
Pastel,ración
Pata asada canaria,ración
"Patata, asada",ración
"Patata, cruda",ración
"Patata, frita con aceite s/e, sin sal",ración
"Patata, hervida",ración
"Patata, prefrita, congelada",ración
Patatas a la riojana,ración
"Patata, salteada con aceite girasol",cucharada
"Patatas chips, ""lights""",ración
"Patatas, fritas, chips",ración
Patatas fritas,ración
"Pate de higado de cerdo, 30% de grasa",ración
Paté de pimienta,ración
Pato a la naranja,ración
"Pato, entero, asado",ración
"Pato, entero, crudo",ración
Pato guisado con ciruelas pasas y piñones,ración
Pavo con guisantes y zanahoria,ración
"Pavo, crudo",ración
"Pavo, fiambre, bajo en grasa",ración
"Pavo, fiambre",ración
"Pavo, muslo, con piel, crudo",ración
"Pavo, pechuga, con piel, crudo",ración
"Pavo, pechuga, sin piel, a la plancha",ración
Pechuga de pollo empanada,ración
Pella de gofio,ración
Pepinillos en vinagre,ración
Pepino,ración
"Pera, enlatada en almíbar",ración
Pera,ración
"Perca, al horno",ración
"Perca, cruda",ración
Percebe,ración
"Perdiz, cruda",ración
"Perejil, fresco",pizca
"Pescadilla, congelada, cruda",ración
"Pescadilla, rebozada en harina, frita",ración
"Pescado, genérico",ración
"Petit líquido, sabor fresa",unidad individual
"Petit suïsse, cereales y fruta",unidad individual
"Petit suisse, chocolate",unidad individual
"Petit suisse, fresa",unidad individual
"Petit Suisse, natural azucarado",unidad individual
"Pez espada, crudo",ración
"Pez espada, emperador, plancha",ración
"Pichón, sin piel, asado",ración
"Pijota, cruda",ración
"Pimentón, en polvo",pizca
"Pimienta, blanca",pizca
"Pimienta, negra",pizca
"Pimiento, frito",ración
"Pimiento morrón, en conserva",ración
"Pimiento rojo, crudo",ración
Piña en almíbar,ración
"Piña, enlatada en su jugo",ración
Piña,ración
"Piñón, crudo, con cáscara",cucharada
Piñon,cucharada
Pipa de calabaza,cucharada
Pipa de girasol,cucharada
"Pipas de girasol, peladas, con sal",cucharada
Pistacho,puñado
Pisto Navarro,ración
Pisto,ración
"Pizza, precocinada",ración
Plátano,ración
"Platija, al vapor",ración
"Platija, cruda",ración
Pochas con guindillas fritas y tomates asados,ración
"Pollo, ala, con piel, cruda",ración
Pollo asado con manzanas y setas,ración
Pollo asado,ración
"Pollo empanado, frito",ración
"Pollo, entero, con piel, asado",ración
"Pollo, entero, con piel, crudo",ración
"Pollo, fiambre, bajo en grasa",ración
"Pollo, fiambre",ración
"Pollo, frito",ración
Pollo marinado al curry,ración
"Pollo, muslo, con piel, asado",ración
"Pollo, muslo, con piel, crudo",ración
"Pollo, parte sin especificar",ración
"Pollo, pechuga, con piel, crudo",ración
"Pollo, pechuga, plancha",ración
Pomelo,ración
Porridge de avena con manzana y canela,ración
Porridge de avena con plátano,ración
Porridge frío de avena y manzana,ración
Potaje de berros,ración
Preparado lácteo con omega 3,unidad individual
Príncipe Alberto,ración
Puchero o potaje canario,ración
Pudding de pasas,ración
Pudin de pasas,ración
"Puerro, crudo y congelado",ración
"Pulmón, de cerdo, crudo",ración
"Pulmón, de cordero, crudo",ración
"Pulmón, de ternera, crudo",ración
Pulpo a la gallega,ración
"Pulpo, hervido",ración
Pulpo,ración
Puré de batata o boniato,ración
Puré de calabacín,ración
Puré de calabaza,ración
"Puré, de patata, con leche",cucharada
"Puré de patata, con verduras, en copos",cucharada
"Puré de patata, en copos",cucharada
"Puré de patatas y champiñones, en copos",cucharada
"Puré de patata y queso, en copos",cucharada
Quesadillas,ración
Quesillo canario,ración
Queso afuega'l pitu,ración
Queso ahumado de aliva,ración
Queso asado con mojo picón,ración
Queso azul,ración
Queso brie,ración
"Queso cabra, curado",ración
Queso cabrales,ración
Queso Camembert 20-30% MG/ES,ración
Queso camembert 60% mg/es,ración
Queso cantabria,ración
Queso casín,ración
Queso Castellano,ración
Queso cebreiro,ración
Queso Cheddar,ración
"Queso curado, genérico",ración
Queso de aracena,ración
Queso de arzúa,ración
Queso de bola,ración
Queso de cádiz,ración
"Queso de Castilla-La Mancha, oveja, vaca y cabra",ración
"Queso de Castilla-La Mancha, oveja y cabra",ración
"Queso de castilla-león, oveja y vaca",ración
"Queso de murcia, al vino",ración
